title,type,titlereleased,rating,quality,actors,director,category,imdb,runtime,netflixid,date_released,description,4k,language
Mary Kom,Movie,2014,TV-14,SuperHD,"Priyanka Chopra, Darshan Kumar, Sunil Thapa, Kenny Basumatary",Omung Kumar,"Dramas
                  International Movies
                  Sports Movies",6.8,119,80015785,2017-05-01,The daughter of a poor rice farmer overcomes the objections of her father and the demands of a male-dominated society to pursue a career in boxing.,1,hindi
Queen,Movie,2014,TV-MA,SuperHD,"Kangana Ranaut, Rajkummar Rao, Lisa Haydon, Mish Boyko",Vikas Bahl,"Comedies
                  Dramas
                  International Movies",8.2,137,80032081,2017-05-01,A jilted bride decides to go on her European honeymoon anyway -- by herself -- and ends up embarking on a journey of self-discovery.,1,hindi
Drishyam,Movie,2015,TV-PG,SuperHD,"Ajay Devgn, Shriya Saran, Tabu, Rajat Kapoor",Nishikant Kamat,"Dramas
                  International Movies
                  Thrillers",8.2,162,80068117,2017-05-01,An unexceptional man becomes a murder suspect when the son of a high-ranking police official who harassed his daughter goes missing.,1,hindi
Pyaar Ka Punchnama 2,Movie,2015,TV-MA,SuperHD,"Kartik Aaryan, Nushrat Bharucha, Sonalli Sehgall, Sunny Singh",Luv Ranjan,"Comedies
                  Dramas
                  International Movies",7.3,135,80083589,2017-05-01,Three young bachelors find the reality of relationships to be far removed from the idea of true romance that they had once pursued.,1,hindi
One by Two,Movie,2014,TV-14,SuperHD,"Abhay Deol, Preeti Desai, Lillete Dubey, Rati Agnihotri",Devika Bhagat,"Comedies
                  Dramas
                  International Movies",4.1,134,80165732,2017-05-01,The lives of a Mumbai man and woman who are both dealing with issues intersect through a TV dance show that she wants to win but he wants to sabotage.,1,hindi
Bittoo Boss,Movie,2012,TV-14,SuperHD,"Pulkit Samrat, Ashok Pathak, Tanvir Singh, Amita Pathak",Supavitra Babul,"Comedies
                  Dramas
                  International Movies",4.1,117,80165848,2017-05-01,"When a small-town wedding videographer falls in love, he decides he needs to make more money and turns to shooting sexy videos -- with mixed results.",1,hindi
Budhia Singh: Born to Run,Movie,2016,TV-MA,SuperHD,"Manoj Bajpayee, Mayur Mahendra Patole, Tillotama Shome, Shruti Marathe",Soumendra Padhi,"Dramas
                  Independent Movies
                  International Movies",7.7,95,80165849,2017-05-01,"In this thought-provoking biopic, an idealistic judo trainer adopts a boy from the slums and grooms him into the world's youngest marathon runner.",1,hindi
Dharam Sankat Mein,Movie,2015,TV-PG,SuperHD,"Paresh Rawal, Annu Kapoor, Alka Badola Kaushal, Auritra Ghosh",Fuwad Khan,"Comedies
                  International Movies",6.3,127,80165850,2017-05-01,"After learning he was adopted from a Muslim couple, a Hindu man seeks his birth father but finds he must confront his bigotry to realize his quest.",1,hindi
Gollu Aur Pappu,Movie,2014,TV-14,SuperHD,"Vir Das, Sandeepa Dhar, Dimple Kapadia, Kunaal Roy Kapur",Kabir Sadanand,"Action & Adventure
                  Comedies
                  International Movies",4.4,112,80165851,2017-05-01,"Hapless brothers Gollu and Pappu stumble into a terrorist plot and end up being ordered to detonate a bomb, a task they are destined to bungle.",1,hindi
Shaitan,Movie,2011,TV-MA,SuperHD,"Rajeev Khandelwal, Kalki Koechlin, Gulshan Devaiah, Shiv Pandit",Bejoy Nambiar,"Action & Adventure
                  Dramas
                  Independent Movies",7.2,126,80165855,2017-05-01,"When they're blackmailed after a hit-and-run, a troubled rich girl and her wild friends stage a fake kidnapping with a plan to collect the ransom.",1,hindi
What the Fish,Movie,2013,TV-14,SuperHD,"Dimple Kapadia, Vishal Sharma, Sumit Suri, Anand Tiwari",Gurmmeet Singh,"Comedies
                  International Movies",5.1,95,80165856,2017-05-01,A crabby woman leaves home for a vacation and entrusts her niece's fiancé to feed her fish and adhere to a strict set of rules. He has other ideas.,1,hindi
Mumbai Delhi Mumbai,Movie,2014,TV-MA,SuperHD,"Shiv Pandit, Piaa Bajpai",Satish Rajwade,"Comedies
                  International Movies
                  Romantic Movies",5.8,107,80165857,2017-05-01,"In Delhi for the first time, a Mumbai girl loses her phone but gets a surprise chance at true love with a local boy who begrudgingly helps her.",1,hindi
Do Paise Ki Dhoop Chaar Aane Ki Baarish,Movie,2009,TV-14,SuperHD,"Manisha Koirala, Rajit Kapoor, Sanaj Naval, Rajendra Gupta",Deepti Naval,"Dramas
                  Independent Movies
                  International Movies",6.7,121,81080769,2019-09-22,"When a sex worker hires a gay songwriter to care for her disabled son, the ensuing bonds that form offer a complex portrayal of love and family.",1,hindi
Ali Baba ve 7 Cüceler,Movie,2015,TV-MA,SuperHD,"Cem Yılmaz, Irina Ivkina, Çetin Altay, Zafer Algöz",Cem Yılmaz,"Action & Adventure
                  Comedies
                  International Movies",5.8,114,80231064,2018-04-04,"A garden gnome vendor and his brother-in-law attend a trade fair in Sofia, where they accidentally stumble into shenanigans involving a mafia boss.",1,turkish
Pek Yakında,Movie,2014,TV-MA,SuperHD,"Cem Yılmaz, Tülin Özen, Ozan Güven, Özkan Uğur",Cem Yılmaz,"Comedies
                  International Movies",7.5,133,80231065,2018-04-04,"An ex-movie extra plans to win his wife back by making a fantasy film, but neither he nor his crew has a knack for filmmaking.",1,turkish
